SNR,Model,Parameter,MAE,RMSE,R2,Pearson,Bias,Error_SD
55,4_pld,CBF,2.0858452320098877,3.0044376850128174,0.989173173904419,0.9948006338541158,-0.613669753074646,2.9412448406219482
55,4_pld,ATT,0.1782035082578659,0.2655216157436371,0.8636670112609863,0.9297857619372026,-0.001828645123168826,0.2655286192893982
55,3_pld,CBF,2.491058588027954,3.4676620960235596,0.9855772852897644,0.9942428324245843,-1.4450865983963013,3.1523640155792236
55,3_pld,ATT,0.17947180569171906,0.263608455657959,0.8656245470046997,0.9304360821875075,-0.0061835628002882,0.2635490894317627
60,6_pld,CBF,2.343971014022827,3.1671783924102783,0.9879685044288635,0.9951847572145739,-1.1577123403549194,2.948150396347046
60,6_pld,ATT,0.16692450642585754,0.25585150718688965,0.8734164237976074,0.9346394845499224,0.00578946340829134,0.2557987868785858
60,4_pld,CBF,2.067729949951172,2.9910380840301514,0.9892695546150208,0.9948453717919727,-0.6091412901878357,2.928500175476074
60,4_pld,ATT,0.17709404230117798,0.26350149512290955,0.8657335638999939,0.9309375443128527,-0.0017493669874966145,0.2635088562965393
60,3_pld,CBF,2.480087995529175,3.4515390396118164,0.9857110977172852,0.9943206407554306,-1.4508538246154785,3.1319525241851807
60,3_pld,ATT,0.17829887568950653,0.2614327371120453,0.8678335547447205,0.9316334489205358,-0.006610492710024118,0.261362224817276
65,6_pld,CBF,2.3446567058563232,3.1631100177764893,0.987999439239502,0.9952084653256897,-1.1631907224655151,2.9416182041168213
65,6_pld,ATT,0.1658095419406891,0.25467830896377563,0.8745746612548828,0.9352582703191087,0.005209296941757202,0.25463777780532837
65,4_pld,CBF,2.05987811088562,2.980224132537842,0.989346981048584,0.9948902018004374,-0.6172631978988647,2.915745735168457
65,4_pld,ATT,0.1768053025007248,0.26331791281700134,0.8659206032752991,0.9310389374052627,-0.0025700810365378857,0.2633185386657715
65,3_pld,CBF,2.475820779800415,3.4496653079986572,0.9857265949249268,0.9943566591054239,-1.4642910957336426,3.123622417449951
65,3_pld,ATT,0.1781391054391861,0.2616269588470459,0.8676370978355408,0.9315401141767403,-0.007503875531256199,0.26153239607810974
70,6_pld,CBF,2.341543197631836,3.1605136394500732,0.9880191087722778,0.9952310640948111,-1.1660563945770264,2.937689781188965
70,6_pld,ATT,0.16523611545562744,0.2540036141872406,0.8752383589744568,0.9355931495500508,0.0036230820696800947,0.25399050116539
70,4_pld,CBF,2.052694320678711,2.9773125648498535,0.9893677830696106,0.9949048322804553,-0.6230474710464478,2.9115374088287354
70,4_pld,ATT,0.1772581934928894,0.2641582489013672,0.8650634288787842,0.9305352814543668,-0.004088354296982288,0.2641398310661316
70,3_pld,CBF,2.466325283050537,3.4401421546936035,0.9858052730560303,0.9943893130069406,-1.4593563079833984,3.115417957305908
70,3_pld,ATT,0.17773260176181793,0.26140502095222473,0.8678615689277649,0.9316785705766434,-0.008729110471904278,0.2612723112106323
75,6_pld,CBF,2.3322975635528564,3.1530935764312744,0.988075315952301,0.9952405316295616,-1.1598656177520752,2.932161331176758
75,6_pld,ATT,0.1645803451538086,0.2519736588001251,0.8772245645523071,0.9366676306026688,0.0029218685813248158,0.2519693076610565
75,4_pld,CBF,2.0500543117523193,2.979687213897705,0.9893508553504944,0.9948948021184876,-0.6204396486282349,2.9145219326019287
75,4_pld,ATT,0.1767142117023468,0.2628931403160095,0.8663528561592102,0.9312482343586792,-0.004776829853653908,0.2628628611564636
75,3_pld,CBF,2.4646294116973877,3.4355947971343994,0.985842764377594,0.9944031458346582,-1.4627466201782227,3.108802080154419
75,3_pld,ATT,0.17740115523338318,0.26063185930252075,0.8686420917510986,0.9321023256180989,-0.0088218804448843,0.26049551367759705
80,6_pld,CBF,2.3306543827056885,3.148254632949829,0.9881118535995483,0.9952616490198195,-1.1568055152893066,2.9281678199768066
80,6_pld,ATT,0.16372467577457428,0.251044899225235,0.878127932548523,0.9371385423664964,0.0023978264071047306,0.2510460317134857
80,4_pld,CBF,2.041792392730713,2.9698758125305176,0.9894208312034607,0.9949260174075556,-0.6158234477043152,2.9054720401763916
80,4_pld,ATT,0.1765366643667221,0.26253536343574524,0.8667163848876953,0.9314501766052934,-0.004252423997968435,0.26251405477523804
80,3_pld,CBF,2.4503555297851562,3.4276599884033203,0.9859080910682678,0.9944345961639771,-1.456697702407837,3.102877378463745
80,3_pld,ATT,0.1769896298646927,0.26018136739730835,0.8690958023071289,0.9323425168872204,-0.008588745258748531,0.26005256175994873
