CBF,ATT,PLD,Selected,Signal_Amplitude,Norm_Signal,Slope_dS_dPLD,Abs_Slope,Curve_Max_PLD,Dist_to_Max,Curve_Region,Sens_CBF,Sens_ATT
35.0,0.5,3.525,False,45.82667832782262,0.1219472543257434,-38.18752168768742,38.18752168768742,1.0,2.525,late decay,1.3093336665092181,10.582701012965359
35.0,0.5,4.025,False,30.210808300826784,0.08039258479291682,-25.216843015127324,25.216843015127324,1.0,3.0250000000000004,late decay,0.8631659514521939,6.97654648501004
35.0,1.0,1.525,True,272.3246530209824,0.6456485248971382,-226.73962111432775,226.73962111432775,1.0,0.5249999999999999,post-maximum/decay,7.780704372028083,62.88761233717594
35.0,1.0,2.025,False,179.5274758766696,0.42563774044117625,-149.72580513892353,149.72580513892353,1.0,1.025,post-maximum/decay,5.129356453619138,41.4580691889617
35.0,1.0,2.525,True,118.35180633523063,0.28059769224553394,-98.87031042182389,98.87031042182389,1.0,1.525,late decay,3.3814801810065873,27.330843659024993
35.0,1.0,3.025,True,78.02231939379831,0.18498139946873596,-64.9077682500938,64.9077682500938,1.0,2.025,late decay,2.229209125537089,18.017602597685425
35.0,1.0,3.525,False,51.43548300686792,0.12194725436112956,-42.861357063467494,42.861357063467494,1.0,2.525,late decay,1.4695852287676558,11.877935691199184
35.0,1.0,4.025,False,33.90836023211179,0.08039258481624478,-28.303175087510226,28.303175087510226,1.0,3.0250000000000004,late decay,0.9688102923460526,7.830417810546351
35.0,1.5,1.525,True,305.65492795727727,0.979852561220302,-254.49066688582388,254.49066688582388,1.4979959919839678,0.02700400801603209,near maximum,8.732997941636484,-11.477126970520999
35.0,1.5,2.025,False,201.5001473304267,0.6459586199623908,-168.05099969982257,168.05099969982257,1.4979959919839678,0.5270040080160321,post-maximum/decay,5.757147066583613,46.53219240574373
35.0,1.5,2.525,True,132.83708411159276,0.42584216770741545,-110.97121495925421,110.97121495925421,1.4979959919839678,1.027004008016032,post-maximum/decay,3.795345260331217,30.675911846171005
35.0,1.5,3.025,True,87.57160304371577,0.28073245900535965,-72.85193980150325,72.85193980150325,1.4979959919839678,1.527004008016032,late decay,2.502045801249025,20.222807457443253
35.0,1.5,3.525,False,57.73075877820228,0.18507024319241352,-48.10723105695433,48.10723105695433,1.4979959919839678,2.027004008016032,late decay,1.6494502508057778,13.331696332667136
35.0,1.5,4.025,False,38.058461798891855,0.12200582375351601,-31.767248562945497,31.767248562945497,1.4979959919839678,2.5270040080160325,late decay,1.0873846228254784,8.78879589198803
35.0,2.0,1.525,True,198.7143381221694,0.8613489114508465,82.04012601965587,82.04012601965587,1.9959919839679359,-0.47099198396793596,near maximum,5.677552517776263,-201.8466343434602
35.0,2.0,2.025,False,226.16209121146622,0.9803241825291835,-188.6190458211713,188.6190458211713,1.9959919839679359,0.029008016032064043,near maximum,6.461774034613313,-8.492227015935043
35.0,2.0,2.525,True,149.09523953769724,0.6462695318912738,-124.55316967240833,124.55316967240833,1.9959919839679359,0.529008016032064,post-maximum/decay,4.259863986791345,34.43038858712015
35.0,2.0,3.025,True,98.28963967271764,0.4260471334833491,-81.76841194712051,81.76841194712051,1.9959919839679359,1.029008016032064,post-maximum/decay,2.8082754192205073,22.697911070219305
35.0,2.0,3.525,False,64.79652400001692,0.28086758077265567,-53.99515644220719,53.99515644220719,1.9959919839679359,1.529008016032064,late decay,1.8513292571433375,14.963385198165042
35.0,2.0,4.025,False,42.71650131656931,0.18515932095143944,-35.655295850720904,35.655295850720904,1.9959919839679359,2.0290080160320647,late decay,1.2204714661876928,9.864471487970192
35.0,2.5,1.525,True,109.34811403864994,0.6404981944868362,92.08115581886705,92.08115581886705,2.501002004008016,-0.976002004008016,arrival/transition,3.1242318296757077,-158.05435934901723
35.0,2.5,2.025,False,147.03394629938344,0.8612400676589873,60.8050993705765,60.8050993705765,2.501002004008016,-0.47600200400801596,near maximum,4.200969894268098,-149.35161435870498
35.0,2.5,2.525,True,167.34325810802218,0.9802003045050063,-139.79744279758052,139.79744279758052,2.501002004008016,0.023997995991984045,near maximum,4.781235945943479,-6.283621317026018
35.0,2.5,3.025,True,110.31947493492807,0.6461878664645472,-91.7761862013731,91.7761862013731,2.501002004008016,0.523997995991984,post-maximum/decay,3.1519849981408044,25.47594680094548
35.0,2.5,3.525,False,72.72708017948403,0.4259932963159683,-60.60371497512733,60.60371497512733,2.501002004008016,1.023997995991984,post-maximum/decay,2.0779165765566887,16.79477922400835
35.0,2.5,4.025,False,47.94464617016123,0.28083208912450314,-40.01920782290517,40.01920782290517,2.501002004008016,1.5239979959919845,late decay,1.369847033433178,11.071800839712651
35.0,3.0,1.525,True,38.61127014313158,0.30547372820258456,103.35112424018916,103.35112424018916,2.998997995991984,-1.4739979959919842,arrival/transition,1.1031791469466157,-126.71645113756462
